Performance Statistics   2021-11-18 12:12:00 - 2021-11-18 12:14:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   3,0           3           3         0,0           1
loginWindow#create                                     143,0         143         143         0,0           1
loginWindow#init                                        36,0          36          36         0,0           1
loginWindow#inject                                      69,0          69          69         0,0           1
loginWindow#load                                       475,0         475         475         0,0           1
loginWindow#uiPermissions                                1,0           1           1         0,0           1
loginWindow#xml                                          5,5           0          11         5,5           2

Performance Statistics   2021-11-18 12:42:00 - 2021-11-18 12:44:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#create                                     154,0         154         154         0,0           1
loginWindow#init                                        87,0          87          87         0,0           1
loginWindow#inject                                     136,0         136         136         0,0           1
loginWindow#load                                       789,0         789         789         0,0           1
loginWindow#xml                                         23,0           0          46        23,0           2

Performance Statistics   2021-11-18 12:44:00 - 2021-11-18 12:46:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
CardDeadlineDatasource#loadTree                         31,0          31          31         0,0           1
TDS null                                                62,0          62          62         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   5,0           5           5         0,0           1
loginWindow#uiPermissions                                1,0           1           1         0,0           1
mainWindow#afterShow                                     4,0           4           4         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       11,0          11          11         0,0           1
mainWindow#init                                        602,0         602         602         0,0           1
mainWindow#inject                                       17,0          17          17         0,0           1
mainWindow#load                                       1535,0        1535        1535         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           8,0           0          16         8,0           2
mainWindow.voiceControlConsole#init                      0,0           0           0         0,0           1
mainWindow.voiceControlConsole#inject                    7,0           7           7         0,0           1
mainWindow.voiceControlConsole#load                     46,0          46          46         0,0           1
voiceControlConsole#create                              58,0          58          58         0,0           1
voiceControlConsole#xml                                  1,0           1           1         0,0           1

Performance Statistics   2021-11-18 12:50:00 - 2021-11-18 12:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   2,0           2           2         0,0           1
loginWindow#create                                     306,0         306         306         0,0           1
loginWindow#init                                        43,0          43          43         0,0           1
loginWindow#inject                                      76,0          76          76         0,0           1
loginWindow#load                                       689,0         689         689         0,0           1
loginWindow#uiPermissions                                1,0           1           1         0,0           1
loginWindow#xml                                          9,0           0          18         9,0           2

Performance Statistics   2021-11-18 12:52:00 - 2021-11-18 12:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2021-11-18 15:08:00 - 2021-11-18 15:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
CardDeadlineDatasource#loadTree                         31,0          31          31         0,0           1
MenuItem.tm$Task.edit                                 6815,0        6815        6815         0,0           1
TDS null                                                87,0          87          87         0,0           1
actionsFrame#create                                      3,0           3           3         0,0           1
actionsFrame#xml                                         0,5           0           1         0,5           2
cardAttachmentsFrame#create                            131,0         131         131         0,0           1
cardAttachmentsFrame#xml                                 1,5           0           3         1,5           2
cardCommentFrame#create                                 75,0          75          75         0,0           1
cardCommentFrame#xml                                     0,5           0           1         0,5           2
cardCommentTextAreaFrame#create                         52,0          52          52         0,0           1
cardCommentTextAreaFrame#xml                             0,5           0           1         0,5           2
cardProjectsFrame#create                                 2,0           2           2         0,0           1
cardProjectsFrame#xml                                    0,5           0           1         0,5           2
cardRelationsFrame#create                                2,0           2           2         0,0           1
